order_date,revenue
2015-01-01,2714
2015-01-02,5446
2015-01-03,8108
2015-01-04,9864
2015-01-05,11930
2015-01-06,14358
2015-01-07,16561
2015-01-08,19399
2015-01-09,21526
2015-01-10,23990
2015-01-11,25863
2015-01-12,27782
2015-01-13,29831
2015-01-14,32359
2015-01-15,34344
2015-01-16,36938
2015-01-17,39002
2015-01-18,40979
2015-01-19,43366
2015-01-20,45764
2015-01-21,47804
2015-01-22,50301
2015-01-23,52725
2015-01-24,55014
2015-01-25,56631
2015-01-26,58516
2015-01-27,61044
2015-01-28,63060
2015-01-29,65105
2015-01-30,67375
2015-01-31,69793
2015-02-01,72983
2015-02-02,75311
2015-02-03,77926
2015-02-04,80160
2015-02-05,82376
2015-02-06,84886
2015-02-07,87123
2015-02-08,89158
2015-02-09,91354
2015-02-10,93410
2015-02-11,95870
2015-02-12,98029
2015-02-13,100783
2015-02-14,103103
2015-02-15,105244
2015-02-16,107213
2015-02-17,109334
2015-02-18,111977
2015-02-19,114008
2015-02-20,116899
2015-02-21,119010
2015-02-22,120590
2015-02-23,122758
2015-02-24,124953
2015-02-25,127294
2015-02-26,129555
2015-02-27,132413
2015-02-28,134953
2015-03-01,136551
2015-03-02,138930
2015-03-03,141218
2015-03-04,143663
2015-03-05,146013
2015-03-06,148527
2015-03-07,150928
2015-03-08,153116
2015-03-09,155450
2015-03-10,157839
2015-03-11,160047
2015-03-12,162042
2015-03-13,164828
2015-03-14,166868
2015-03-15,168936
2015-03-16,171232
2015-03-17,174197
2015-03-18,176272
2015-03-19,178661
2015-03-20,181122
2015-03-21,183389
2015-03-22,184649
2015-03-23,186881
2015-03-24,189044
2015-03-25,190971
2015-03-26,193187
2015-03-27,195932
2015-03-28,198184
2015-03-29,200338
2015-03-30,202593
2015-03-31,205350
2015-04-01,207527
2015-04-02,210074
2015-04-03,212612
2015-04-04,215380
2015-04-05,217290
2015-04-06,219912
2015-04-07,222146
2015-04-08,224440
2015-04-09,226487
2015-04-10,228912
2015-04-11,231456
2015-04-12,233450
2015-04-13,235947
2015-04-14,238452
2015-04-15,241031
2015-04-16,243049
2015-04-17,245725
2015-04-18,248011
2015-04-19,249539
2015-04-20,251998
2015-04-21,254212
2015-04-22,256405
2015-04-23,258831
2015-04-24,261810
2015-04-25,263900
2015-04-26,265667
2015-04-27,267848
2015-04-28,269591
2015-04-29,271419
2015-04-30,274087
2015-05-01,276659
2015-05-02,279059
2015-05-03,280891
2015-05-04,283180
2015-05-05,284894
2015-05-06,287204
2015-05-07,289432
2015-05-08,292485
2015-05-09,294853
2015-05-10,297141
2015-05-11,299529
2015-05-12,301829
2015-05-13,304091
2015-05-14,306785
2015-05-15,310172
2015-05-16,312453
2015-05-17,314281
2015-05-18,316491
2015-05-19,318478
2015-05-20,320851
2015-05-21,322913
2015-05-22,325548
2015-05-23,327993
2015-05-24,330190
2015-05-25,332294
2015-05-26,334170
2015-05-27,336267
2015-05-28,338284
2015-05-29,341285
2015-05-30,343772
2015-05-31,345490
2015-06-01,348557
2015-06-02,351007
2015-06-03,352914
2015-06-04,355198
2015-06-05,357898
2015-06-06,360179
2015-06-07,362140
2015-06-08,364405
2015-06-09,366847
2015-06-10,368867
2015-06-11,371517
2015-06-12,373656
2015-06-13,376165
2015-06-14,378024
2015-06-15,380619
2015-06-16,382518
2015-06-17,384655
2015-06-18,386639
2015-06-19,389433
2015-06-20,391493
2015-06-21,393418
2015-06-22,395738
2015-06-23,397780
2015-06-24,400108
2015-06-25,402507
2015-06-26,405253
2015-06-27,408066
2015-06-28,409635
2015-06-29,411509
2015-06-30,413720
2015-07-01,415951
2015-07-02,418246
2015-07-03,421689
2015-07-04,425553
2015-07-05,427145
2015-07-06,429262
2015-07-07,431636
2015-07-08,434032
2015-07-09,436330
2015-07-10,438762
2015-07-11,440848
2015-07-12,443033
2015-07-13,445093
2015-07-14,447049
2015-07-15,449551
2015-07-16,452015
2015-07-17,455147
2015-07-18,457269
2015-07-19,459292
2015-07-20,461793
2015-07-21,463824
2015-07-22,466116
2015-07-23,468330
2015-07-24,471535
2015-07-25,473772
2015-07-26,475643
2015-07-27,477815
2015-07-28,479910
2015-07-29,481833
2015-07-30,484182
2015-07-31,486278
2015-08-01,488718
2015-08-02,490628
2015-08-03,492611
2015-08-04,494701
2015-08-05,496796
2015-08-06,498895
2015-08-07,501521
2015-08-08,504238
2015-08-09,506240
2015-08-10,508380
2015-08-11,510670
2015-08-12,513036
2015-08-13,515110
2015-08-14,518126
2015-08-15,520379
2015-08-16,522518
2015-08-17,525144
2015-08-18,527245
2015-08-19,529578
2015-08-20,531486
2015-08-21,534087
2015-08-22,536493
2015-08-23,538195
2015-08-24,539892
2015-08-25,541851
2015-08-26,544180
2015-08-27,546298
2015-08-28,548945
2015-08-29,550980
2015-08-30,552475
2015-08-31,554556
2015-09-01,556909
2015-09-02,558774
2015-09-03,561027
2015-09-04,563988
2015-09-05,566526
2015-09-06,568017
2015-09-07,570301
2015-09-08,572550
2015-09-09,575130
2015-09-10,577546
2015-09-11,580308
2015-09-12,582896
2015-09-13,584734
2015-09-14,586900
2015-09-15,589450
2015-09-16,591635
2015-09-17,593877
2015-09-18,596599
2015-09-19,598885
2015-09-20,600714
2015-09-21,602846
2015-09-22,605016
2015-09-23,607179
2015-09-26,609426
2015-09-27,611741
2015-09-28,613776
2015-09-29,616538
2015-09-30,618736
2015-10-01,621938
2015-10-02,624013
2015-10-03,626414
2015-10-04,628556
2015-10-06,630772
2015-10-07,632864
2015-10-08,634840
2015-10-09,637353
2015-10-10,639663
2015-10-11,641579
2015-10-13,643905
2015-10-14,646052
2015-10-15,650372
2015-10-16,652927
2015-10-17,655267
2015-10-18,657062
2015-10-20,659499
2015-10-21,661960
2015-10-22,664361
2015-10-23,666971
2015-10-24,669651
2015-10-25,671488
2015-10-27,673476
2015-10-28,675112
2015-10-29,677282
2015-10-30,680019
2015-10-31,682764
2015-11-01,684750
2015-11-02,687049
2015-11-03,688878
2015-11-04,690844
2015-11-05,693024
2015-11-06,696182
2015-11-07,698763
2015-11-08,700873
2015-11-09,703357
2015-11-10,705399
2015-11-11,707345
2015-11-12,709910
2015-11-13,712175
2015-11-14,714500
2015-11-15,716321
2015-11-16,718578
2015-11-17,720534
2015-11-18,722646
2015-11-19,725341
2015-11-20,727729
2015-11-21,729813
2015-11-22,731182
2015-11-23,733647
2015-11-24,735877
2015-11-25,738240
2015-11-26,742646
2015-11-27,747069
2015-11-28,749037
2015-11-29,750936
2015-11-30,753159
2015-12-01,755236
2015-12-02,757450
2015-12-03,759693
2015-12-04,762571
2015-12-05,765199
2015-12-06,767549
2015-12-07,769964
2015-12-08,771820
2015-12-09,774392
2015-12-10,776378
2015-12-11,779012
2015-12-12,780972
2015-12-13,783217
2015-12-14,785390
2015-12-15,787777
2015-12-16,790012
2015-12-17,791893
2015-12-18,794779
2015-12-19,797083
2015-12-20,799188
2015-12-21,801289
2015-12-22,803172
2015-12-23,805416
2015-12-24,807554
2015-12-26,809197
2015-12-27,810616
2015-12-28,812253
2015-12-29,813606
2015-12-30,814944
2015-12-31,817860
